
2025/04/19 (23:03:08) | ===> btop++ v.1.4.0
2025/04/19 (23:03:08) | WARNING: Failed to join _runner thread on exit!

2025/04/21 (14:50:41) | ===> btop++ v.1.4.0
2025/04/21 (14:50:41) | WARNING: Failed to join _runner thread on exit!

2025/04/21 (16:52:24) | ===> btop++ v.1.4.0
2025/04/21 (16:52:24) | WARNING: Failed to join _runner thread on exit!

2025/04/24 (17:27:59) | ===> btop++ v.1.4.0
2025/04/24 (17:27:59) | ERROR: Invalid hex value: red

2025/04/24 (21:05:51) | ===> btop++ v.1.4.0
2025/04/24 (21:05:51) | ERROR: Invalid hex value: red

2025/04/24 (21:08:14) | ===> btop++ v.1.4.0
2025/04/24 (21:08:14) | ERROR: Invalid hex value: red

2025/04/25 (02:07:21) | ===> btop++ v.1.4.0
2025/04/25 (02:07:21) | ERROR: Invalid hex value: red
2025/04/25 (02:08:02) | WARNING: Failed to join _runner thread on exit!

2025/04/25 (14:42:04) | ===> btop++ v.1.4.0
2025/04/25 (14:42:04) | ERROR: Invalid hex value: red

2025/04/25 (20:54:41) | ===> btop++ v.1.4.0
2025/04/25 (20:54:41) | ERROR: Invalid hex value: red

2025/04/25 (20:56:14) | ===> btop++ v.1.4.0
2025/04/25 (20:56:14) | ERROR: Invalid hex value: red

2025/04/25 (21:11:32) | ===> btop++ v.1.4.0
2025/04/25 (21:11:32) | ERROR: Invalid hex value: red

2025/04/25 (21:11:54) | ===> btop++ v.1.4.0
2025/04/25 (21:11:54) | ERROR: Invalid hex value: red

2025/04/25 (21:36:55) | ===> btop++ v.1.4.0
2025/04/25 (21:36:55) | ERROR: Invalid hex value: red

2025/04/25 (21:37:27) | ===> btop++ v.1.4.0
2025/04/25 (21:37:27) | ERROR: Invalid hex value: red

2025/04/25 (21:37:59) | ===> btop++ v.1.4.0
2025/04/25 (21:37:59) | ERROR: Invalid hex value: red

2025/04/25 (21:39:00) | ===> btop++ v.1.4.0
2025/04/25 (21:39:00) | ERROR: Invalid hex value: red

2025/04/26 (13:14:38) | ===> btop++ v.1.4.0
2025/04/26 (13:14:38) | ERROR: Invalid hex value: red

2025/04/26 (21:15:39) | ===> btop++ v.1.4.0
2025/04/26 (21:15:39) | ERROR: Invalid hex value: red

2025/04/26 (22:05:34) | ===> btop++ v.1.4.0
2025/04/26 (22:05:34) | ERROR: Invalid hex value: red

2025/04/27 (20:52:51) | ===> btop++ v.1.4.0
2025/04/27 (20:52:51) | ERROR: Invalid hex value: red

2025/04/27 (20:57:11) | ===> btop++ v.1.4.0
2025/04/27 (20:57:11) | ERROR: Invalid hex value: red

2025/04/28 (06:34:54) | ===> btop++ v.1.4.0
2025/04/28 (06:34:54) | ERROR: Invalid hex value: red

2025/04/28 (06:36:02) | ===> btop++ v.1.4.0
2025/04/28 (06:36:02) | ERROR: Invalid hex value: red

2025/04/28 (09:50:19) | ===> btop++ v.1.4.0
2025/04/28 (09:50:19) | ERROR: Invalid hex value: red
